TA,PtP Name,City (Reev),Address,ZipCode,Total Acquisition
Karagiannis Dimitris,ΤΣΙΡΔΗΜΟΣ ΦΙΛΙΠΠΟΣ,Athina,3 Keiriadon,118 54,=VLOOKUP(B76;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,IQOS Corner Germanos Kolonaki,Athina,26 Kanari,106 74,=VLOOKUP(B77;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,IQOS Corner Germanos Stadiou,Athina,10 Stadiou,105 64,=VLOOKUP(B78;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΑΓΓΕΛΟΥ ΕΛΕΥΘΕΡΙΟΣ,Athina,3 Karatheodori,115 25,=VLOOKUP(B79;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΔΟΥΚΑΚΗΣ ΑΓΓΕΛΟΣ,Athina,81 Louizis Riankour,115 24,=VLOOKUP(B80;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΚΡΕΜΜΥΔΑ ΕΛΛΗ,Athina,63 Megalou Alexandrou,104 35,=VLOOKUP(B81;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΧΑΜΛΑΤΖΗΣ Κ. ΔΗΜΗΤΡΙΟΣ,Athina,16 Erythrou Stavrou,115 26,=VLOOKUP(B82;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,IQOS Corner Germanos Mpenaki,Athina,6 Emmanouil Benaki,105 64,=VLOOKUP(B83;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΑΝΤΩΝΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ,Athina,51 Papada,115 26,=VLOOKUP(B84;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΚΟΚΚΑΣ ΝΙΚΟΛ.ΔΗΜΗΤΡΙΟΣ,Athina,147 Ippokratous,114 72,=VLOOKUP(B85;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΚΟΥΜΗΣ ΓΡΗΓΟΡΙΟΣ,Athina,20 Xenokratous,106 75,=VLOOKUP(B86;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΜΑΤΣΟΥΚΑΣ ΧΡΗΣΤΟΣ & ΣΙΑ ΕΕ,Athina,6 Apollonos,105 57,=VLOOKUP(B87;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΣΤΑΣΙΝΟΣ Θ.ΠΑΝΑΓΙΩΤΗΣ,Athina,185 Ippokratous,114 72,=VLOOKUP(B88;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΨΑΡΡΟΥ ΕΜΜ. ΣΟΦΙΑ,Athina,155 Pireos,118 54,=VLOOKUP(B89;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,A.O.V. 67 O.E.,Athina,67 Panepistimiou,105 64,=VLOOKUP(B90;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,IQOS Corner Germanos N. Kosmos,Athina,76 Leoforos Andrea Siggrou,117 42,=VLOOKUP(B91;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,IQOS Corner Germanos Petralona,Moschato,147 Thessalonikis,183 46,=VLOOKUP(B92;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,UZO DILAVER NDRICIM,Athina,108 Keiriadon,118 53,=VLOOKUP(B93;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΛΙΤΗ ΕΥΑΓΓ. ΒΙΟΛΕΤΑ,Athina,56 Ious,11853,=VLOOKUP(B94;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΣΠΑΝΟΣ ΧΡΗΣΤΟΣ,Athina,113 Trion Ierarchon,118 51,=VLOOKUP(B95;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΦΟΥΚΟΣ ΧΡΗΣΤΟΣ ΝΕΚΤΑΡΙΟΣ,Athina,110 Solonos,106 81,=VLOOKUP(B96;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
